TimeStamp	FrameNumber	T10.PosX	T10.PosY	T10.PosZ	SACR.PosX	SACR.PosY	SACR.PosZ	NAVE.PosX	NAVE.PosY	NAVE.PosZ	XYPH.PosX	XYPH.PosY	XYPH.PosZ	STRN.PosX	STRN.PosY	STRN.PosZ	NAVE.PosX	NAVE.PosY	NAVE.PosZ	XYPH.PosX	XYPH.PosY	XYPH.PosZ	STRN.PosX	STRN.PosY	STRN.PosZ	LASIS.PosX	LASIS.PosY	LASIS.PosZ	RASIS.PosX	RASIS.PosY	RASIS.PosZ	LPSIS.PosX	LPSIS.PosY	LPSIS.PosZ	RPSIS.PosX	RPSIS.PosY	RPSIS.PosZ	LGTRO.PosX	LGTRO.PosY	LGTRO.PosZ	FLTHI.PosX	FLTHI.PosY	FLTHI.PosZ	LLEK.PosX	LLEK.PosY	LLEK.PosZ	LATI.PosX	LATI.PosY	LATI.PosZ	LLM.PosX	LLM.PosY	LLM.PosZ	LHEE.PosX	LHEE.PosY	LHEE.PosZ	LTOE.PosX	LTOE.PosY	LTOE.PosZ	LMT5.PosX	LMT5.PosY	LMT5.PosZ	RGTRO.PosX	RGTRO.PosY	RGTRO.PosZ	FRTHI.PosX	FRTHI.PosY	FRTHI.PosZ	RLEK.PosX	RLEK.PosY	RLEK.PosZ	RATI.PosX	RATI.PosY	RATI.PosZ	RLM.PosX	RLM.PosY	RLM.PosZ	RHEE.PosX	RHEE.PosY	RHEE.PosZ	RTOE.PosX	RTOE.PosY	RTOE.PosZ	RMT5.PosX	RMT5.PosY	RMT5.PosZ	FP1.CopX	FP1.CopY	FP1.CopZ	FP1.ForX	FP1.ForY	FP1.ForZ	FP1.MomX	FP1.MomY	FP1.MomZ	FP2.CopX	FP2.CopY	FP2.CopZ	FP2.ForX	FP2.ForY	FP2.ForZ	FP2.MomX	FP2.MomY	FP2.MomZ
0.00000	    1    0.03719    1.22578    0.10565    0.03922    1.03823    0.09788    0.01076    1.10616   -0.13883    0.00921    1.25455   -0.12278    0.01594    1.41038   -0.11301    0.01076    1.10616   -0.13883    0.00921    1.25455   -0.12278    0.01594    1.41038   -0.11301   -0.10397    1.03017   -0.08342    0.15592    1.02954   -0.10339   -0.01341    1.05640    0.09628    0.07593    1.06410    0.08693   -0.16126    0.94786   -0.02523   -0.16433    0.73270   -0.10252   -0.12900    0.55254   -0.17639   -0.13321    0.26564   -0.24073   -0.13007    0.11015   -0.32301   -0.06346    0.04628   -0.28593   -0.10570    0.14277   -0.55161   -0.18173    0.08848   -0.45500    0.21593    0.96081   -0.02010    0.18903    0.67839    0.04780    0.16517    0.54448    0.09772    0.17796    0.41058    0.17977    0.13704    0.12864    0.30080    0.08635    0.08898    0.38758    0.06948    0.04561    0.09575    0.16555    0.03004    0.20494    0.00495    0.00000   -0.41297  -24.05356   84.65972  -21.20699   34.96207   -1.02895    0.41933    0.12299    0.00000    0.14021  -51.72808  781.46045 -114.74960 -109.57037    7.69566   96.11324
0.01689	    2    0.03444    1.22504    0.10311    0.03607    1.03744    0.09527    0.00941    1.10558   -0.14140    0.00771    1.25391   -0.12542    0.01436    1.40983   -0.11538    0.00941    1.10558   -0.14140    0.00771    1.25391   -0.12542    0.01436    1.40983   -0.11538   -0.10579    1.02962   -0.08697    0.15438    1.02872   -0.10522   -0.01660    1.05574    0.09352    0.07278    1.06322    0.08458   -0.16357    0.94735   -0.02942   -0.16546    0.73169   -0.10495   -0.12871    0.55072   -0.17659   -0.13149    0.26358   -0.23893   -0.12800    0.11004   -0.32101   -0.06290    0.04714   -0.28046   -0.10020    0.13240   -0.55077   -0.17803    0.08340   -0.45266    0.21397    0.96008   -0.02095    0.18810    0.67831    0.04790    0.16455    0.54455    0.09836    0.17764    0.41168    0.18205    0.13783    0.13099    0.30665    0.08701    0.09248    0.39398    0.06958    0.04546    0.10346    0.16562    0.03008    0.21246   -0.05625    0.00000   -0.32628   -9.27826  140.04581  -15.26585   45.69410   10.22658   -7.87760    0.12684    0.00000    0.14939  -59.74378  769.60956 -130.90292 -114.97537    4.31582   97.61498
0.03403	    4    0.02895    1.22404    0.09763    0.02953    1.03632    0.08969    0.00636    1.10474   -0.14697    0.00460    1.25315   -0.13103    0.01108    1.40931   -0.12043    0.00636    1.10474   -0.14697    0.00460    1.25315   -0.13103    0.01108    1.40931   -0.12043   -0.10960    1.02900   -0.09445    0.15085    1.02722   -0.10950   -0.02292    1.05508    0.08735    0.06670    1.06177    0.07934   -0.16825    0.94723   -0.03840   -0.16751    0.73015   -0.10962   -0.12923    0.54747   -0.17608   -0.13025    0.26172   -0.23902   -0.12651    0.10914   -0.31830   -0.06373    0.04997   -0.26997   -0.09087    0.11270   -0.54757   -0.17148    0.07234   -0.44824    0.20990    0.95852   -0.02341    0.18586    0.67822    0.04700    0.16305    0.54483    0.09850    0.17671    0.41423    0.18559    0.13915    0.13626    0.31766    0.08815    0.10124    0.40647    0.06979    0.04537    0.11881    0.16581    0.03036    0.22743   -0.03460    0.00000   -0.34011  -32.42285  205.19632   27.88562   69.79023   13.97042   -7.09936    0.12185    0.00000    0.17899  -51.71975  715.56403 -136.76247 -128.08046   10.49174   87.19244
0.06294	    7    0.02183    1.22364    0.08875    0.02033    1.03551    0.08055    0.00108    1.10468   -0.15634   -0.00070    1.25358   -0.14003    0.00585    1.40983   -0.12860    0.00108    1.10468   -0.15634   -0.00070    1.25358   -0.14003    0.00585    1.40983   -0.12860   -0.11617    1.03042   -0.10561    0.14479    1.02571   -0.11728   -0.03176    1.05574    0.07766    0.05797    1.06028    0.07070   -0.17596    0.95008   -0.05188   -0.17230    0.73087   -0.11561   -0.13509    0.54651   -0.17851   -0.13474    0.25940   -0.23716   -0.12761    0.10707   -0.30777   -0.06528    0.05378   -0.25271   -0.08779    0.08526   -0.53639   -0.16958    0.05700   -0.43459    0.20319    0.95598   -0.02851    0.18197    0.67831    0.04239    0.16071    0.54540    0.09505    0.17473    0.41863    0.18796    0.14053    0.14598    0.33206    0.08913    0.11708    0.42283    0.06972    0.04496    0.14199    0.16588    0.03161    0.24927   -0.06388    0.00000   -0.36447  -18.57514  369.88049   40.08060  134.81210   11.63358  -23.62882    0.11862    0.00000    0.20063  -43.38494  610.24921 -131.21965 -122.43353    7.47616   72.38497
0.08005	    9    0.01774    1.22455    0.08292    0.01505    1.03595    0.07435   -0.00280    1.10567   -0.16267   -0.00457    1.25498   -0.14591    0.00203    1.41115   -0.13391   -0.00280    1.10567   -0.16267   -0.00457    1.25498   -0.14591    0.00203    1.41115   -0.13391   -0.12088    1.03346   -0.11254    0.14024    1.02525   -0.12311   -0.03655    1.05726    0.07130    0.05321    1.06014    0.06457   -0.18145    0.95439   -0.05975   -0.17730    0.73511   -0.12202   -0.14143    0.54836   -0.18117   -0.13990    0.25942   -0.23362   -0.13009    0.10555   -0.29711   -0.06638    0.05538   -0.23985   -0.09164    0.07106   -0.52618   -0.17212    0.04877   -0.42186    0.19637    0.95555   -0.03583    0.17960    0.67830    0.03694    0.15951    0.54543    0.08963    0.17355    0.42186    0.18696    0.14111    0.15354    0.33981    0.08967    0.12946    0.43108    0.06954    0.04471    0.15723    0.16556    0.03291    0.26335   -0.07552    0.00000   -0.41388   -5.58544  448.13455   79.63611  185.47543  -12.59994  -33.84127    0.11087    0.00000    0.19213  -14.83474  524.74298 -116.33325 -100.81759    6.96342   58.17732
0.09837	   10    0.01586    1.22529    0.08010    0.01278    1.03655    0.07134   -0.00484    1.10664   -0.16571   -0.00664    1.25610   -0.14879    0.00001    1.41221   -0.13645   -0.00484    1.10664   -0.16571   -0.00664    1.25610   -0.14879    0.00001    1.41221   -0.13645   -0.12333    1.03558   -0.11565    0.13779    1.02526   -0.12614   -0.03866    1.05828    0.06838    0.05107    1.06047    0.06162   -0.18445    0.95721   -0.06292   -0.17954    0.73825   -0.12642   -0.14497    0.54994   -0.18253   -0.14270    0.25978   -0.23121   -0.13154    0.10468   -0.29099   -0.06709    0.05604   -0.23303   -0.09287    0.06520   -0.52035   -0.17341    0.04519   -0.41503    0.19346    0.95517   -0.03878    0.17856    0.67824    0.03329    0.15907    0.54533    0.08586    0.17241    0.42353    0.18608    0.14113    0.15771    0.34315    0.08987    0.13643    0.43436    0.06934    0.04457    0.16482    0.16539    0.03373    0.27019   -0.09667    0.00000   -0.39038   37.87277  481.88242   65.40863  188.11723   -2.69024  -46.58500    0.10576    0.00000    0.20031  -19.14848  462.77856 -107.93986  -92.69988    2.59586   48.94460
0.11532	   12    0.01223    1.22750    0.07480    0.00851    1.03826    0.06580   -0.00919    1.10944   -0.17124   -0.01102    1.25912   -0.15432   -0.00409    1.41508   -0.14134   -0.00919    1.10944   -0.17124   -0.01102    1.25912   -0.15432   -0.00409    1.41508   -0.14134   -0.12869    1.04064   -0.12120    0.13226    1.02584   -0.13196   -0.04263    1.06089    0.06296    0.04725    1.06170    0.05588   -0.19056    0.96343   -0.06827   -0.18291    0.74479   -0.13525   -0.15116    0.55383   -0.18581   -0.14751    0.26136   -0.22564   -0.13274    0.10384   -0.27808   -0.06818    0.05644   -0.21852   -0.09284    0.05790   -0.50794   -0.17480    0.04298   -0.40072    0.18767    0.95454   -0.04498    0.17687    0.67807    0.02406    0.15915    0.54469    0.07537    0.17195    0.42703    0.18117    0.14161    0.16667    0.34760    0.08989    0.15230    0.43897    0.06923    0.04435    0.17936    0.16492    0.03595    0.28353   -0.11482    0.00000   -0.36976   62.11108  576.03418   71.50612  212.99200  -22.06856  -66.13854    0.10224    0.00000    0.23357   -2.39898  358.85086  -93.68692  -83.81726    6.91231   36.68712
0.13238	   14    0.00849    1.23043    0.07009    0.00421    1.04088    0.06097   -0.01381    1.11292   -0.17594   -0.01560    1.26290   -0.15942   -0.00829    1.41867   -0.14580   -0.01381    1.11292   -0.17594   -0.01560    1.26290   -0.15942   -0.00829    1.41867   -0.14580   -0.13444    1.04621   -0.12590    0.12601    1.02709   -0.13707   -0.04668    1.06421    0.05810    0.04322    1.06398    0.05114   -0.19629    0.96933   -0.07328   -0.18672    0.75014   -0.14104   -0.15515    0.55780   -0.18853   -0.15019    0.26372   -0.21980   -0.13221    0.10382   -0.26431   -0.06841    0.05644   -0.20379   -0.09216    0.05489   -0.49423   -0.17490    0.04282   -0.38606    0.18160    0.95421   -0.05147    0.17466    0.67748    0.01245    0.15983    0.54327    0.06075    0.17208    0.43033    0.17269    0.14249    0.17693    0.34871    0.09028    0.17124    0.44014    0.06885    0.04414    0.19316    0.16454    0.03991    0.29600   -0.10467    0.00000   -0.39665   46.80054  605.23047   86.35898  240.06329   -8.08962  -63.35106    0.09738    0.00000    0.21329   16.55307  243.53848  -52.03667  -51.94418   10.13515   23.71488
0.15001	   16    0.00450    1.23379    0.06598   -0.00078    1.04420    0.05708   -0.01864    1.11652   -0.17971   -0.02009    1.26712   -0.16383   -0.01245    1.42275   -0.14982   -0.01864    1.11652   -0.17971   -0.02009    1.26712   -0.16383   -0.01245    1.42275   -0.14982   -0.13981    1.05138   -0.13033    0.11965    1.02919   -0.14041   -0.05162    1.06813    0.05373    0.03857    1.06706    0.04728   -0.20135    0.97440   -0.07805   -0.19160    0.75336   -0.14316   -0.15851    0.56071   -0.18946   -0.15111    0.26568   -0.21170   -0.13182    0.10378   -0.25000   -0.06844    0.05634   -0.18894   -0.09197    0.05362   -0.47997   -0.17498    0.04261   -0.37123    0.17592    0.95467   -0.05695    0.17261    0.67607   -0.00173    0.16137    0.54095    0.04160    0.17290    0.43314    0.15920    0.14390    0.18887    0.34657    0.09086    0.19353    0.43718    0.06884    0.04379    0.20568    0.16406    0.04666    0.30768   -0.11384    0.00000   -0.36088   59.14096  655.52679   92.92551  236.56369  -19.21578  -74.62685    0.08369    0.00000    0.22687   17.76153  165.92009  -14.34557  -37.64209    5.08932   13.88580
0.17969	   19   -0.00224    1.23889    0.06132   -0.00919    1.04933    0.05257   -0.02475    1.12124   -0.18400   -0.02627    1.27288   -0.16889   -0.01858    1.42843   -0.15457   -0.02475    1.12124   -0.18400   -0.02627    1.27288   -0.16889   -0.01858    1.42843   -0.15457   -0.14600    1.05682   -0.13659    0.11278    1.03362   -0.14341   -0.05973    1.07396    0.04819    0.03050    1.07176    0.04327   -0.20799    0.97986   -0.08421   -0.19833    0.75573   -0.14150   -0.16309    0.56314   -0.18540   -0.15094    0.26726   -0.19562   -0.13108    0.10370   -0.22764   -0.06840    0.05600   -0.16615   -0.09206    0.05268   -0.45756   -0.17506    0.04237   -0.34842    0.16815    0.95704   -0.06191    0.16920    0.67363   -0.02658    0.16100    0.53675    0.00843    0.17368    0.43637    0.13145    0.14552    0.21095    0.33803    0.09202    0.23101    0.42479    0.07056    0.04407    0.22066    0.16426    0.06436    0.32147   -0.10827    0.00000   -0.33361   45.38214  706.63257   86.35898  235.74043   -8.04106  -76.50513    0.11519    0.00000    0.33819   10.49726   74.21144   -2.30975  -25.09755    8.16756    8.54848
