TimeStamp,FrameNumber,T10.PosX,T10.PosY,T10.PosZ,SACR.PosX,SACR.PosY,SACR.PosZ,NAVE.PosX,NAVE.PosY,NAVE.PosZ,XYPH.PosX,XYPH.PosY,XYPH.PosZ,STRN.PosX,STRN.PosY,STRN.PosZ,NAVE.PosX,NAVE.PosY,NAVE.PosZ,XYPH.PosX,XYPH.PosY,XYPH.PosZ,STRN.PosX,STRN.PosY,STRN.PosZ,LASIS.PosX,LASIS.PosY,LASIS.PosZ,RASIS.PosX,RASIS.PosY,RASIS.PosZ,LPSIS.PosX,LPSIS.PosY,LPSIS.PosZ,RPSIS.PosX,RPSIS.PosY,RPSIS.PosZ,LGTRO.PosX,LGTRO.PosY,LGTRO.PosZ,FLTHI.PosX,FLTHI.PosY,FLTHI.PosZ,LLEK.PosX,LLEK.PosY,LLEK.PosZ,LATI.PosX,LATI.PosY,LATI.PosZ,LLM.PosX,LLM.PosY,LLM.PosZ,LHEE.PosX,LHEE.PosY,LHEE.PosZ,LTOE.PosX,LTOE.PosY,LTOE.PosZ,LMT5.PosX,LMT5.PosY,LMT5.PosZ,RGTRO.PosX,RGTRO.PosY,RGTRO.PosZ,FRTHI.PosX,FRTHI.PosY,FRTHI.PosZ,RLEK.PosX,RLEK.PosY,RLEK.PosZ,RATI.PosX,RATI.PosY,RATI.PosZ,RLM.PosX,RLM.PosY,RLM.PosZ,RHEE.PosX,RHEE.PosY,RHEE.PosZ,RTOE.PosX,RTOE.PosY,RTOE.PosZ,RMT5.PosX,RMT5.PosY,RMT5.PosZ,FP1.CopX,FP1.CopY,FP1.CopZ,FP1.ForX,FP1.ForY,FP1.ForZ,FP1.MomX,FP1.MomY,FP1.MomZ,FP2.CopX,FP2.CopY,FP2.CopZ,FP2.ForX,FP2.ForY,FP2.ForZ,FP2.MomX,FP2.MomY,FP2.MomZ
0.00000,    1    0.03569    1.23627    0.06345    0.04504    1.04258    0.05421    0.01455    1.11737   -0.18186    0.00253    1.26650   -0.16492   -0.00236    1.42205   -0.15281    0.01455    1.11737   -0.18186    0.00253    1.26650   -0.16492   -0.00236    1.42205   -0.15281   -0.10041    1.04473   -0.12528    0.15804    1.04082   -0.14851   -0.00699    1.06244    0.05547    0.08183    1.06853    0.04391   -0.15692    0.96333   -0.07071   -0.15028    0.74437   -0.13743   -0.11730    0.55625   -0.19179   -0.11716    0.26501   -0.23334   -0.11136    0.10788   -0.29665   -0.05139    0.05457   -0.23806   -0.06394    0.07961   -0.52676   -0.14913    0.05312   -0.42460    0.21866    0.96559   -0.06934    0.19256    0.68239   -0.01072    0.16714    0.54778    0.03685    0.18207    0.41473    0.11903    0.14650    0.14204    0.25029    0.09717    0.10725    0.34082    0.09366    0.04465    0.05299    0.18473    0.03609    0.16521   -0.02161    0.00000   -0.39412  -29.27493  256.49851   41.33136  101.09081   29.19473   -5.54231    0.12418    0.00000    0.08408  -36.37325  664.51819  -80.54254  -55.87196   13.22196   82.51784
0.01934,    3    0.03010    1.23706    0.05953    0.03971    1.04396    0.04981    0.01214    1.11855   -0.18740   -0.00160    1.26856   -0.16946   -0.00711    1.42395   -0.15615    0.01214    1.11855   -0.18740   -0.00160    1.26856   -0.16946   -0.00711    1.42395   -0.15615   -0.10326    1.04609   -0.13173    0.15525    1.04156   -0.15202   -0.01220    1.06429    0.05030    0.07693    1.06956    0.03962   -0.16075    0.96537   -0.07771   -0.15531    0.74551   -0.13943   -0.12113    0.55649   -0.19231   -0.12150    0.26413   -0.22831   -0.11249    0.10695   -0.28525   -0.05189    0.05612   -0.22466   -0.06799    0.06914   -0.51438   -0.15162    0.04587   -0.41058    0.21486    0.96625   -0.07186    0.19070    0.68331   -0.01387    0.16633    0.54849    0.03340    0.18118    0.41791    0.11982    0.14678    0.14904    0.25934    0.09724    0.11805    0.35064    0.09354    0.04459    0.06818    0.18460    0.03760    0.17937   -0.04636    0.00000   -0.37784  -29.92812  341.00473   31.01253  128.84639   -4.20713  -15.81006    0.13094    0.00000    0.10495  -40.02708  591.99512  -95.74567  -62.12932    5.61289   77.51365
0.03628,    5    0.02474    1.23836    0.05541    0.03499    1.04606    0.04516    0.00926    1.12044   -0.19274   -0.00574    1.27142   -0.17404   -0.01185    1.42664   -0.15947    0.00926    1.12044   -0.19274   -0.00574    1.27142   -0.17404   -0.01185    1.42664   -0.15947   -0.10663    1.04829   -0.13774    0.15205    1.04282   -0.15582   -0.01683    1.06692    0.04514    0.07240    1.07134    0.03507   -0.16510    0.96849   -0.08325   -0.16036    0.74803   -0.14227   -0.12637    0.55732   -0.19052   -0.12680    0.26396   -0.22127   -0.11393    0.10619   -0.27227   -0.05308    0.05676   -0.21008   -0.07123    0.06324   -0.50024   -0.15503    0.04282   -0.39526    0.21060    0.96713   -0.07522    0.18878    0.68424   -0.01853    0.16609    0.54914    0.02787    0.18060    0.42140    0.11902    0.14657    0.15692    0.26737    0.09668    0.13043    0.35904    0.09358    0.04451    0.08335    0.18432    0.03952    0.19331   -0.09539    0.00000   -0.38021   33.08809  450.19061   64.47055  171.16498   -8.11907  -42.94241    0.11662    0.00000    0.12228   -9.45708  489.35715  -94.00365  -59.84071   15.65692   57.06810
0.05325,    7    0.01983    1.24040    0.05141    0.03040    1.04910    0.04094    0.00580    1.12320   -0.19783   -0.00998    1.27489   -0.17828   -0.01650    1.42995   -0.16254    0.00580    1.12320   -0.19783   -0.00998    1.27489   -0.17828   -0.01650    1.42995   -0.16254   -0.11101    1.05145   -0.14279    0.14769    1.04451   -0.15979   -0.02123    1.07035    0.04054    0.06824    1.07397    0.03061   -0.17002    0.97270   -0.08748   -0.16345    0.75176   -0.14478   -0.13031    0.55931   -0.18841   -0.13098    0.26469   -0.21255   -0.11410    0.10577   -0.25813   -0.05378    0.05657   -0.19498   -0.07003    0.05904   -0.48654   -0.15579    0.04300   -0.38046    0.20583    0.96840   -0.07913    0.18723    0.68527   -0.02523    0.16709    0.54970    0.01973    0.18053    0.42540    0.11690    0.14679    0.16529    0.27356    0.09568    0.14416    0.36545    0.09343    0.04440    0.09891    0.18409    0.04183    0.20702   -0.09230    0.00000   -0.35811   37.70658  530.39667   59.46749  189.93810   -3.63050  -48.95522    0.11267    0.00000    0.14141  -15.40499  383.75049  -58.68804  -54.26575   -2.76307   43.23509
0.07041,    9    0.01513    1.24328    0.04780    0.02590    1.05279    0.03702    0.00143    1.12664   -0.20224   -0.01434    1.27902   -0.18186   -0.02106    1.43397   -0.16525    0.00143    1.12664   -0.20224   -0.01434    1.27902   -0.18186   -0.02106    1.43397   -0.16525   -0.11635    1.05568   -0.14695    0.14219    1.04676   -0.16352   -0.02566    1.07450    0.03627    0.06396    1.07743    0.02672   -0.17511    0.97756   -0.09095   -0.16586    0.75540   -0.14634   -0.13317    0.56172   -0.18565   -0.13201    0.26633   -0.20255   -0.11352    0.10560   -0.24349   -0.05388    0.05638   -0.17988   -0.06955    0.05743   -0.47185   -0.15580    0.04312   -0.36558    0.20049    0.97000   -0.08372    0.18562    0.68614   -0.03378    0.16870    0.55002    0.00857    0.18038    0.43013    0.11290    0.14736    0.17465    0.27717    0.09410    0.16070    0.36921    0.09340    0.04440    0.11391    0.18367    0.04501    0.22014   -0.08865    0.00000   -0.35560   33.82240  550.99963   60.24921  195.93539  -13.49691  -48.84378    0.11696    0.00000    0.13044    5.11141  274.53101  -47.28569  -35.80901   13.49773   32.10836
0.08723,   10    0.01275    1.24481    0.04627    0.02351    1.05476    0.03530   -0.00113    1.12856   -0.20400   -0.01647    1.28121   -0.18351   -0.02327    1.43609   -0.16654   -0.00113    1.12856   -0.20400   -0.01647    1.28121   -0.18351   -0.02327    1.43609   -0.16654   -0.11923    1.05788   -0.14885    0.13922    1.04813   -0.16503   -0.02812    1.07663    0.03428    0.06162    1.07935    0.02501   -0.17769    0.97975   -0.09252   -0.16755    0.75677   -0.14636   -0.13471    0.56256   -0.18374   -0.13256    0.26688   -0.19702   -0.11350    0.10547   -0.23591   -0.05403    0.05620   -0.17210   -0.06914    0.05694   -0.46434   -0.15568    0.04301   -0.35794    0.19790    0.97098   -0.08597    0.18526    0.68658   -0.03902    0.17002    0.55009    0.00167    0.18093    0.43254    0.10935    0.14771    0.17966    0.27780    0.09360    0.16972    0.36932    0.09342    0.04434    0.12119    0.18350    0.04712    0.22627   -0.08953    0.00000   -0.36813   40.86415  570.24799   68.22285  209.92699   -3.04053  -51.05255    0.08271    0.00000    0.13011   15.97118  196.09778  -40.00085  -25.51422    1.00552   16.21863
0.11697,   13    0.00518    1.24892    0.04239    0.01543    1.06020    0.03144   -0.00869    1.13423   -0.20786   -0.02297    1.28746   -0.18765   -0.02961    1.44213   -0.16974   -0.00869    1.13423   -0.20786   -0.02297    1.28746   -0.18765   -0.02961    1.44213   -0.16974   -0.12724    1.06318   -0.15409    0.13082    1.05242   -0.16742   -0.03608    1.08226    0.02913    0.05389    1.08467    0.02144   -0.18530    0.98457   -0.09702   -0.17406    0.75926   -0.14344   -0.13971    0.56428   -0.17490   -0.13311    0.26754   -0.17786   -0.11340    0.10495   -0.21285   -0.05348    0.05573   -0.14927   -0.06890    0.05605   -0.44139   -0.15571    0.04261   -0.33481    0.19001    0.97419   -0.09030    0.18477    0.68698   -0.05645    0.17402    0.54914   -0.02202    0.18390    0.43822    0.09247    0.14931    0.19619    0.27544    0.09236    0.20080    0.36520    0.09428    0.04380    0.14051    0.18235    0.05658    0.24384   -0.09194    0.00000   -0.32808   35.11712  613.82471   61.49998  201.38414  -10.18241  -56.43548    0.08088    0.00000    0.17772    4.92176   84.50142  -10.22805  -15.01731   -3.80543    6.83464
0.13548,   15   -0.00013    1.25097    0.04058    0.00935    1.06286    0.02996   -0.01235    1.13713   -0.20953   -0.02661    1.29075   -0.18988   -0.03351    1.44538   -0.17129   -0.01235    1.13713   -0.20953   -0.02661    1.29075   -0.18988   -0.03351    1.44538   -0.17129   -0.13141    1.06545   -0.15726    0.12647    1.05463   -0.16729   -0.04203    1.08515    0.02668    0.04814    1.08717    0.02028   -0.19009    0.98715   -0.09981   -0.17784    0.76072   -0.14155   -0.14289    0.56495   -0.16787   -0.13379    0.26773   -0.16470   -0.11303    0.10459   -0.19798   -0.05358    0.05562   -0.13389   -0.06872    0.05568   -0.42619   -0.15574    0.04226   -0.31941    0.18517    0.97581   -0.09076    0.18457    0.68647   -0.06914    0.17616    0.54773   -0.03987    0.18588    0.44047    0.07749    0.15013    0.20942    0.27151    0.09153    0.22333    0.35897    0.09563    0.04374    0.15013    0.18154    0.06715    0.25336   -0.09150    0.00000   -0.30872   43.95795  642.48352   59.93652  198.34842   -9.01184  -58.78631    0.12399    0.00000    0.23931   -5.50914   51.39266   -0.09263  -12.29864    8.08656    6.37197
0.15227,   17   -0.00570    1.25261    0.03936    0.00322    1.06466    0.02923   -0.01447    1.13868   -0.21054   -0.02985    1.29311   -0.19135   -0.03709    1.44771   -0.17238   -0.01447    1.13868   -0.21054   -0.02985    1.29311   -0.19135   -0.03709    1.44771   -0.17238   -0.13453    1.06693   -0.16019    0.12323    1.05607   -0.16613   -0.04827    1.08749    0.02513    0.04215    1.08865    0.02017   -0.19426    0.98935   -0.10281   -0.18120    0.76201   -0.13982   -0.14583    0.56536   -0.16105   -0.13578    0.26795   -0.15237   -0.11349    0.10472   -0.18270   -0.05361    0.05544   -0.11870   -0.06884    0.05515   -0.41099   -0.15561    0.04202   -0.30433    0.18104    0.97665   -0.08984    0.18392    0.68570   -0.08181    0.17746    0.54642   -0.05839    0.18812    0.44243    0.06059    0.14993    0.22351    0.26556    0.09032    0.24715    0.34848    0.09760    0.04356    0.15807    0.18019    0.08077    0.25998   -0.09583    0.00000   -0.29041   30.76530  695.63904   58.52941  202.02286  -19.58964  -66.66388    0.17584    0.00000   -0.01581   -1.83721   32.53618   12.73502    0.51450   -4.63274    5.72129
0.16936,   18   -0.00849    1.25319    0.03906    0.00013    1.06521    0.02922   -0.01516    1.13896   -0.21080   -0.03124    1.29387   -0.19183   -0.03871    1.44851   -0.17276   -0.01516    1.13896   -0.21080   -0.03124    1.29387   -0.19183   -0.03871    1.44851   -0.17276   -0.13587    1.06740   -0.16148    0.12191    1.05649   -0.16527   -0.05113    1.08838    0.02458    0.03934    1.08901    0.02028   -0.19613    0.99022   -0.10434   -0.18273    0.76252   -0.13908   -0.14731    0.56555   -0.15768   -0.13714    0.26801   -0.14657   -0.11392    0.10477   -0.17498   -0.05369    0.05540   -0.11104   -0.06875    0.05489   -0.40340   -0.15557    0.04184   -0.29669    0.17918    0.97681   -0.08915    0.18357    0.68554   -0.08812    0.17816    0.54610   -0.06795    0.18912    0.44335    0.05186    0.14952    0.23052    0.26194    0.08951    0.25914    0.34152    0.09881    0.04307    0.16093    0.17933    0.08840    0.26201   -0.09263    0.00000   -0.30253   52.97076  707.69684   46.64713  214.09840   -6.63120  -65.55278    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   -0.00000    0.00000    0.00000
