TimeStamp	FrameNumber	T10.PosX	T10.PosY	T10.PosZ	SACR.PosX	SACR.PosY	SACR.PosZ	NAVE.PosX	NAVE.PosY	NAVE.PosZ	XYPH.PosX	XYPH.PosY	XYPH.PosZ	STRN.PosX	STRN.PosY	STRN.PosZ	NAVE.PosX	NAVE.PosY	NAVE.PosZ	XYPH.PosX	XYPH.PosY	XYPH.PosZ	STRN.PosX	STRN.PosY	STRN.PosZ	LASIS.PosX	LASIS.PosY	LASIS.PosZ	RASIS.PosX	RASIS.PosY	RASIS.PosZ	LPSIS.PosX	LPSIS.PosY	LPSIS.PosZ	RPSIS.PosX	RPSIS.PosY	RPSIS.PosZ	LGTRO.PosX	LGTRO.PosY	LGTRO.PosZ	FLTHI.PosX	FLTHI.PosY	FLTHI.PosZ	LLEK.PosX	LLEK.PosY	LLEK.PosZ	LATI.PosX	LATI.PosY	LATI.PosZ	LLM.PosX	LLM.PosY	LLM.PosZ	LHEE.PosX	LHEE.PosY	LHEE.PosZ	LTOE.PosX	LTOE.PosY	LTOE.PosZ	LMT5.PosX	LMT5.PosY	LMT5.PosZ	RGTRO.PosX	RGTRO.PosY	RGTRO.PosZ	FRTHI.PosX	FRTHI.PosY	FRTHI.PosZ	RLEK.PosX	RLEK.PosY	RLEK.PosZ	RATI.PosX	RATI.PosY	RATI.PosZ	RLM.PosX	RLM.PosY	RLM.PosZ	RHEE.PosX	RHEE.PosY	RHEE.PosZ	RTOE.PosX	RTOE.PosY	RTOE.PosZ	RMT5.PosX	RMT5.PosY	RMT5.PosZ	FP1.CopX	FP1.CopY	FP1.CopZ	FP1.ForX	FP1.ForY	FP1.ForZ	FP1.MomX	FP1.MomY	FP1.MomZ	FP2.CopX	FP2.CopY	FP2.CopZ	FP2.ForX	FP2.ForY	FP2.ForZ	FP2.MomX	FP2.MomY	FP2.MomZ
0.00000	    1   -0.01576    1.22881    0.22764    0.00197    1.03372    0.21681   -0.01375    1.11240   -0.01627   -0.01958    1.26442   -0.00253   -0.01456    1.41982    0.01532   -0.01375    1.11240   -0.01627   -0.01958    1.26442   -0.00253   -0.01456    1.41982    0.01532   -0.14059    1.03406    0.02802    0.11926    1.04458    0.02323   -0.05019    1.05615    0.21347    0.03865    1.06027    0.21177   -0.19416    0.95421    0.10246   -0.18702    0.73435    0.14476   -0.15542    0.54471    0.19730   -0.14180    0.30447    0.37799   -0.12023    0.14959    0.45647   -0.06200    0.11831    0.53912   -0.08745    0.04224    0.26897   -0.17031    0.04378    0.37433    0.18082    0.96560    0.07943    0.15777    0.68288   -0.00618    0.13087    0.54778   -0.04037    0.14886    0.39567   -0.05332    0.11949    0.10801   -0.11893    0.06786    0.05637   -0.05302    0.06636    0.08619   -0.34426    0.15362    0.04344   -0.24176   -0.11016    0.00000    0.31566   10.25846  557.96246 -124.39527 -176.12939  -23.85627  -61.46304    0.06247    0.00000   -0.20408   14.79576  510.57758   80.99075  104.19612  -19.07988   31.89469
0.01698	    2   -0.01354    1.22917    0.22613    0.00438    1.03476    0.21482   -0.01286    1.11329   -0.01858   -0.01767    1.26584   -0.00419   -0.01235    1.42115    0.01459   -0.01286    1.11329   -0.01858   -0.01767    1.26584   -0.00419   -0.01235    1.42115    0.01459   -0.13883    1.03438    0.02615    0.12062    1.04535    0.02062   -0.04801    1.05682    0.21146    0.04092    1.06164    0.20963   -0.19195    0.95419    0.10050   -0.18637    0.73418    0.14113   -0.15678    0.54427    0.19153   -0.14355    0.30807    0.38069   -0.12006    0.15572    0.46064   -0.06096    0.12782    0.54381   -0.08715    0.04214    0.27952   -0.16972    0.04538    0.38313    0.18283    0.96761    0.07685    0.16110    0.68385   -0.00603    0.13353    0.54839   -0.03945    0.15148    0.39598   -0.05081    0.12072    0.10714   -0.11088    0.06829    0.05717   -0.04389    0.06825    0.08087   -0.33647    0.15462    0.03944   -0.23246   -0.11438    0.00000    0.32173   23.48589  488.15192  -87.65399 -157.05208   -9.25694  -55.83277    0.07544    0.00000   -0.18326   29.28796  556.44757   69.74676  101.97318   -0.77746   41.97592
0.04523	    5   -0.00764    1.23162    0.22201    0.00997    1.03972    0.21046   -0.01035    1.11669   -0.02382   -0.01242    1.27130   -0.00830   -0.00632    1.42645    0.01262   -0.01035    1.11669   -0.02382   -0.01242    1.27130   -0.00830   -0.00632    1.42645    0.01262   -0.13261    1.03601    0.02201    0.12526    1.05090    0.01467   -0.04338    1.06002    0.20662    0.04602    1.06741    0.20470   -0.18500    0.95328    0.09455   -0.18531    0.73298    0.12684   -0.16348    0.54213    0.16790   -0.14373    0.32345    0.37463   -0.12035    0.17675    0.46594   -0.05742    0.16286    0.54916   -0.08670    0.04133    0.31044   -0.16872    0.05291    0.40806    0.18960    0.97592    0.07289    0.16910    0.68960   -0.00611    0.14305    0.55183   -0.03367    0.16099    0.39825   -0.03943    0.12504    0.10534   -0.08352    0.07071    0.05775   -0.01425    0.06913    0.07119   -0.30900    0.15854    0.03548   -0.20319   -0.08914    0.00000    0.36880   -9.60680  230.36085  -55.44674  -84.95693   -7.25976  -20.53470    0.10776    0.00000   -0.16548  -68.86004  651.10248  100.31140  107.74566  -15.56159   70.16128
0.06291	    7   -0.00411    1.23390    0.21998    0.01349    1.04374    0.20896   -0.00755    1.11944   -0.02511   -0.00904    1.27494   -0.01027   -0.00269    1.43008    0.01130   -0.00755    1.11944   -0.02511   -0.00904    1.27494   -0.01027   -0.00269    1.43008    0.01130   -0.12737    1.03721    0.02126    0.12982    1.05524    0.01321   -0.04036    1.06285    0.20512    0.04930    1.07178    0.20258   -0.18045    0.95274    0.09210   -0.18584    0.73145    0.11536   -0.16813    0.53999    0.14746   -0.14576    0.33316    0.36287   -0.12194    0.19341    0.46258   -0.05605    0.19174    0.54488   -0.08702    0.04031    0.32768   -0.16783    0.06209    0.42201    0.19418    0.98167    0.07175    0.17282    0.69377   -0.00465    0.14750    0.55439   -0.02838    0.16518    0.39999   -0.03013    0.12661    0.10472   -0.06357    0.07221    0.05795    0.00636    0.06926    0.06853   -0.28878    0.15945    0.03400   -0.18246   -0.12312    0.00000    0.29700    0.39348  119.30881  -14.32777  -35.43523    0.13116  -14.68949    0.11224    0.00000   -0.15279  -36.17383  679.81158   88.27558  103.87082    4.23461   76.30071
0.08170	    9   -0.00028    1.23622    0.21897    0.01775    1.04723    0.20862   -0.00434    1.12185   -0.02463   -0.00628    1.27773   -0.01122    0.00032    1.43296    0.01032   -0.00434    1.12185   -0.02463   -0.00628    1.27773   -0.01122    0.00032    1.43296    0.01032   -0.12254    1.03826    0.02240    0.13379    1.05916    0.01202   -0.03664    1.06557    0.20527    0.05321    1.07538    0.20127   -0.17561    0.95197    0.09106   -0.18370    0.72922    0.10205   -0.17158    0.53774    0.12455   -0.14793    0.34364    0.34686   -0.12324    0.21445    0.45412   -0.05634    0.22383    0.53437   -0.08696    0.03969    0.33974   -0.16696    0.07743    0.43137    0.19826    0.98633    0.07030    0.17687    0.69563    0.00008    0.15118    0.55533   -0.02069    0.16822    0.40079   -0.01887    0.12761    0.10427   -0.04399    0.07322    0.05820    0.02674    0.06899    0.06588   -0.26876    0.16014    0.03355   -0.16212   -0.01244    0.00000    0.45652  -15.16249   41.54020   -7.29221  -18.96374    5.34599   -0.51667    0.10595    0.00000   -0.13919  -67.08133  706.08368   74.97284   98.28169  -10.78939   74.81281
0.09887	   11    0.00412    1.23859    0.21899    0.02318    1.04948    0.20908   -0.00189    1.12342   -0.02319   -0.00438    1.27940   -0.01122    0.00269    1.43476    0.00967   -0.00189    1.12342   -0.02319   -0.00438    1.27940   -0.01122    0.00269    1.43476    0.00967   -0.11919    1.03924    0.02510    0.13692    1.06094    0.01026   -0.03130    1.06728    0.20649    0.05814    1.07799    0.20098   -0.17117    0.95213    0.09243   -0.18222    0.72851    0.09000   -0.17386    0.53719    0.10042   -0.14993    0.35486    0.32664   -0.12527    0.23522    0.44210   -0.05713    0.25686    0.51607   -0.08686    0.03845    0.34914   -0.16613    0.09674    0.43396    0.20205    0.98936    0.06834    0.17952    0.69598    0.00711    0.15362    0.55552   -0.01036    0.17004    0.40068   -0.00520    0.12794    0.10418   -0.02451    0.07335    0.05858    0.04644    0.06872    0.06370   -0.24898    0.16042    0.03322   -0.14205    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   -0.00000    0.00000    0.00000    0.10588    0.00000   -0.11805  -46.65300  751.78595   80.04055   88.74774    8.81632   79.60191
0.11589	   12    0.00666    1.23971    0.21920    0.02637    1.05021    0.20951   -0.00120    1.12396   -0.02231   -0.00377    1.27989   -0.01081    0.00358    1.43533    0.00961   -0.00120    1.12396   -0.02231   -0.00377    1.27989   -0.01081    0.00358    1.43533    0.00961   -0.11814    1.03982    0.02680    0.13769    1.06290    0.00913   -0.02813    1.06777    0.20740    0.06111    1.07884    0.20106   -0.16918    0.95268    0.09389   -0.18151    0.72898    0.08427   -0.17450    0.53787    0.08858   -0.15076    0.36035    0.31641   -0.12423    0.24297    0.43340   -0.05777    0.27220    0.50463   -0.08752    0.03679    0.35339   -0.16549    0.10682    0.43273    0.20389    0.99030    0.06722    0.18023    0.69613    0.01083    0.15450    0.55545   -0.00441    0.17058    0.40052    0.00240    0.12745    0.10406   -0.01464    0.07343    0.05800    0.05680    0.06850    0.06280   -0.23909    0.16047    0.03323   -0.13201   -0.12136    0.00000    0.08063   20.33220   11.78681    4.59008   -0.95039    7.75502   -1.43047    0.10406    0.00000   -0.11505  -55.57473  757.32904   69.27167   87.12914   -1.66951   78.80947
0.13297	   14    0.01178    1.24187    0.22024    0.03304    1.05109    0.21055   -0.00094    1.12471   -0.02041   -0.00287    1.28052   -0.00960    0.00482    1.43616    0.01004   -0.00094    1.12471   -0.02041   -0.00287    1.28052   -0.00960    0.00482    1.43616    0.01004   -0.11696    1.04129    0.03070    0.13920    1.06440    0.00749   -0.02148    1.06831    0.20960    0.06743    1.08015    0.20147   -0.16570    0.95434    0.09792   -0.17956    0.73137    0.07366   -0.17505    0.54123    0.06610   -0.15203    0.37075    0.29521   -0.12419    0.25886    0.41694   -0.05691    0.29232    0.48495   -0.08835    0.03895    0.35357   -0.16584    0.12329    0.42389    0.20722    0.99167    0.06528    0.18141    0.69663    0.01839    0.15606    0.55533    0.00834    0.17142    0.40032    0.01855    0.12692    0.10410    0.00534    0.07293    0.05960    0.08207    0.06817    0.06147   -0.21890    0.16043    0.03320   -0.11172    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   -0.00000    0.00000    0.00000    0.10073    0.00000   -0.08623  -56.61537  778.32208   68.00474   67.11285   -6.13919   78.39949
0.16292	   17    0.01919    1.24477    0.22244    0.04102    1.05290    0.21282   -0.00106    1.12604   -0.01739   -0.00186    1.28133   -0.00705    0.00604    1.43742    0.01166   -0.00106    1.12604   -0.01739   -0.00186    1.28133   -0.00705    0.00604    1.43742    0.01166   -0.11586    1.04434    0.03673    0.14172    1.06557    0.00757   -0.01316    1.06984    0.21282    0.07503    1.08234    0.20309   -0.16164    0.95760    0.10341   -0.17682    0.73665    0.06012   -0.17481    0.54970    0.03574   -0.15182    0.38604    0.26569   -0.12336    0.27644    0.39061   -0.05655    0.30668    0.46087   -0.08928    0.05904    0.31951   -0.16657    0.14103    0.39280    0.21107    0.99326    0.06437    0.18318    0.69733    0.03090    0.15852    0.55523    0.02817    0.17293    0.40040    0.04382    0.12652    0.10404    0.03613    0.07344    0.05762    0.10796    0.06827    0.06052   -0.18829    0.16061    0.03308   -0.08083    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   -0.00000    0.00000    0.00000    0.09894    0.00000   -0.05135  -39.20928  788.08173   38.39030   40.47044   -2.47629   77.97089
0.18164	   19    0.02356    1.24671    0.22417    0.04418    1.05484    0.21469    0.00018    1.12770   -0.01524   -0.00098    1.28269   -0.00499    0.00670    1.43886    0.01328    0.00018    1.12770   -0.01524   -0.00098    1.28269   -0.00499    0.00670    1.43886    0.01328   -0.11389    1.04728    0.04007    0.14355    1.06676    0.00834   -0.01007    1.07178    0.21506    0.07822    1.08414    0.20459   -0.15966    0.96005    0.10542   -0.17546    0.74076    0.05235   -0.17418    0.55663    0.01753   -0.15054    0.39323    0.24505   -0.12310    0.28105    0.36901   -0.05765    0.30862    0.44191   -0.08748    0.06663    0.28978   -0.16607    0.14562    0.36508    0.21326    0.99398    0.06573    0.18441    0.69752    0.03973    0.15999    0.55529    0.04154    0.17418    0.40072    0.06001    0.12679    0.10406    0.05659    0.07372    0.05765    0.12855    0.06838    0.06023   -0.16769    0.16090    0.03292   -0.06029    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   -0.00000    0.00000    0.00000    0.10394    0.00000   -0.02122  -40.23326  773.79523   31.89730   16.42235   -2.01341   80.42670
