TimeStamp,FrameNumber,T10.PosX,T10.PosY,T10.PosZ,SACR.PosX,SACR.PosY,SACR.PosZ,NAVE.PosX,NAVE.PosY,NAVE.PosZ,XYPH.PosX,XYPH.PosY,XYPH.PosZ,STRN.PosX,STRN.PosY,STRN.PosZ,NAVE.PosX,NAVE.PosY,NAVE.PosZ,XYPH.PosX,XYPH.PosY,XYPH.PosZ,STRN.PosX,STRN.PosY,STRN.PosZ,LASIS.PosX,LASIS.PosY,LASIS.PosZ,RASIS.PosX,RASIS.PosY,RASIS.PosZ,LPSIS.PosX,LPSIS.PosY,LPSIS.PosZ,RPSIS.PosX,RPSIS.PosY,RPSIS.PosZ,LGTRO.PosX,LGTRO.PosY,LGTRO.PosZ,FLTHI.PosX,FLTHI.PosY,FLTHI.PosZ,LLEK.PosX,LLEK.PosY,LLEK.PosZ,LATI.PosX,LATI.PosY,LATI.PosZ,LLM.PosX,LLM.PosY,LLM.PosZ,LHEE.PosX,LHEE.PosY,LHEE.PosZ,LTOE.PosX,LTOE.PosY,LTOE.PosZ,LMT5.PosX,LMT5.PosY,LMT5.PosZ,RGTRO.PosX,RGTRO.PosY,RGTRO.PosZ,FRTHI.PosX,FRTHI.PosY,FRTHI.PosZ,RLEK.PosX,RLEK.PosY,RLEK.PosZ,RATI.PosX,RATI.PosY,RATI.PosZ,RLM.PosX,RLM.PosY,RLM.PosZ,RHEE.PosX,RHEE.PosY,RHEE.PosZ,RTOE.PosX,RTOE.PosY,RTOE.PosZ,RMT5.PosX,RMT5.PosY,RMT5.PosZ,FP1.CopX,FP1.CopY,FP1.CopZ,FP1.ForX,FP1.ForY,FP1.ForZ,FP1.MomX,FP1.MomY,FP1.MomZ,FP2.CopX,FP2.CopY,FP2.CopZ,FP2.ForX,FP2.ForY,FP2.ForZ,FP2.MomX,FP2.MomY,FP2.MomZ
0.00000,    1   -0.01827    1.27446    0.39163   -0.00798    1.07598    0.39117   -0.01747    1.14028    0.13452   -0.00500    1.35071    0.20148   -0.00758    1.51421    0.20189   -0.01747    1.14028    0.13452   -0.00500    1.35071    0.20148   -0.00758    1.51421    0.20189   -0.14372    1.07576    0.18502    0.11238    1.07464    0.17749   -0.05687    1.09898    0.38297    0.04168    1.10201    0.37888   -0.19845    0.98822    0.26657   -0.18638    0.77335    0.24578   -0.15415    0.58284    0.23221   -0.15991    0.28339    0.30960   -0.13161    0.10240    0.33511   -0.06423    0.05685    0.38837   -0.11705    0.05227    0.10990   -0.18797    0.02905    0.22006    0.17947    0.96780    0.26274    0.15869    0.67473    0.22764    0.14513    0.56616    0.22621    0.17439    0.40904    0.30739    0.14412    0.10358    0.33336    0.08335    0.05573    0.38112    0.11560    0.05755    0.10266    0.19749    0.02597    0.19966   -0.12519    0.00000    0.22485   11.08349  410.04941   -4.34518  -92.20099   -5.05511  -51.33443    0.13538    0.00000    0.22062  -16.58905  370.95319   -2.22967  -81.83953   -0.65180   50.22022
0.00926,    2   -0.01823    1.27445    0.39178   -0.00794    1.07593    0.39130   -0.01738    1.14035    0.13472   -0.00491    1.35065    0.20176   -0.00746    1.51411    0.20212   -0.01738    1.14035    0.13472   -0.00491    1.35065    0.20176   -0.00746    1.51411    0.20212   -0.14367    1.07579    0.18517    0.11243    1.07467    0.17766   -0.05686    1.09895    0.38309    0.04170    1.10198    0.37903   -0.19847    0.98824    0.26673   -0.18642    0.77338    0.24588   -0.15411    0.58287    0.23220   -0.15989    0.28341    0.30959   -0.13160    0.10241    0.33510   -0.06422    0.05684    0.38837   -0.11704    0.05228    0.10991   -0.18797    0.02906    0.22007    0.17947    0.96779    0.26281    0.15875    0.67473    0.22774    0.14519    0.56617    0.22631    0.17442    0.40903    0.30746    0.14414    0.10356    0.33337    0.08338    0.05573    0.38112    0.11561    0.05756    0.10267    0.19751    0.02596    0.19966   -0.12568    0.00000    0.22458   11.86999  412.32840   -3.09441  -92.59850   -5.20864  -51.82204    0.13025    0.00000    0.22224  -14.25518  368.97327   -3.02150  -82.00021   -1.54605   48.05810
0.01911,    3   -0.01816    1.27444    0.39193   -0.00791    1.07590    0.39148   -0.01733    1.14041    0.13491   -0.00482    1.35060    0.20203   -0.00736    1.51402    0.20233   -0.01733    1.14041    0.13491   -0.00482    1.35060    0.20203   -0.00736    1.51402    0.20233   -0.14363    1.07581    0.18529    0.11248    1.07468    0.17781   -0.05682    1.09893    0.38327    0.04175    1.10195    0.37918   -0.19852    0.98828    0.26686   -0.18634    0.77337    0.24587   -0.15408    0.58288    0.23222   -0.15988    0.28341    0.30959   -0.13160    0.10242    0.33513   -0.06421    0.05684    0.38837   -0.11705    0.05230    0.10991   -0.18796    0.02908    0.22008    0.17960    0.96782    0.26310    0.15878    0.67475    0.22782    0.14524    0.56619    0.22639    0.17452    0.40901    0.30750    0.14415    0.10355    0.33337    0.08339    0.05574    0.38113    0.11562    0.05756    0.10267    0.19750    0.02594    0.19966   -0.12706    0.00000    0.22428   12.65842  411.42410   -4.50152  -92.27359   -5.21730  -52.27521    0.13253    0.00000    0.22053  -12.31856  371.69894   -1.91294  -81.96946    0.61033   49.26180
0.03250,    4   -0.01809    1.27442    0.39214   -0.00788    1.07586    0.39161   -0.01730    1.14049    0.13511   -0.00474    1.35053    0.20232   -0.00726    1.51394    0.20255   -0.01730    1.14049    0.13511   -0.00474    1.35053    0.20232   -0.00726    1.51394    0.20255   -0.14358    1.07583    0.18543    0.11250    1.07470    0.17796   -0.05681    1.09892    0.38341    0.04177    1.10191    0.37933   -0.19853    0.98830    0.26702   -0.18631    0.77336    0.24593   -0.15406    0.58288    0.23222   -0.15990    0.28341    0.30963   -0.13159    0.10242    0.33510   -0.06420    0.05683    0.38837   -0.11705    0.05229    0.10991   -0.18796    0.02907    0.22007    0.17960    0.96781    0.26314    0.15882    0.67476    0.22787    0.14529    0.56620    0.22647    0.17449    0.40897    0.30755    0.14417    0.10353    0.33336    0.08338    0.05573    0.38111    0.11562    0.05758    0.10267    0.19752    0.02593    0.19965   -0.12595    0.00000    0.22374   11.71346  408.53433   -3.56345  -91.40614   -5.10563  -51.45673    0.13175    0.00000    0.22069  -15.55344  371.69037   -2.86313  -82.02864   -0.81503   48.96902
0.03954,    5   -0.01798    1.27442    0.39233   -0.00785    1.07583    0.39176   -0.01726    1.14052    0.13532   -0.00468    1.35045    0.20261   -0.00717    1.51385    0.20276   -0.01726    1.14052    0.13532   -0.00468    1.35045    0.20261   -0.00717    1.51385    0.20276   -0.14355    1.07585    0.18555    0.11254    1.07471    0.17811   -0.05678    1.09890    0.38354    0.04181    1.10187    0.37950   -0.19851    0.98831    0.26713   -0.18626    0.77333    0.24595   -0.15404    0.58288    0.23220   -0.15989    0.28340    0.30964   -0.13159    0.10242    0.33510   -0.06421    0.05684    0.38836   -0.11704    0.05229    0.10990   -0.18796    0.02906    0.22007    0.17965    0.96783    0.26327    0.15889    0.67477    0.22795    0.14534    0.56619    0.22656    0.17452    0.40897    0.30760    0.14416    0.10353    0.33339    0.08337    0.05571    0.38111    0.11564    0.05762    0.10264    0.19751    0.02593    0.19967   -0.12549    0.00000    0.22403   11.87192  407.46878   -3.87614  -91.28507   -5.03188  -51.13367    0.13209    0.00000    0.21887  -16.32641  372.89526   -0.32928  -81.61643   -1.24382   49.25465
0.05152,    6   -0.01789    1.27444    0.39250   -0.00785    1.07580    0.39187   -0.01726    1.14056    0.13551   -0.00464    1.35037    0.20288   -0.00709    1.51378    0.20298   -0.01726    1.14056    0.13551   -0.00464    1.35037    0.20288   -0.00709    1.51378    0.20298   -0.14354    1.07585    0.18571    0.11256    1.07472    0.17824   -0.05676    1.09887    0.38366    0.04186    1.10183    0.37965   -0.19852    0.98833    0.26729   -0.18624    0.77334    0.24605   -0.15402    0.58288    0.23223   -0.15986    0.28338    0.30963   -0.13159    0.10241    0.33510   -0.06421    0.05683    0.38837   -0.11704    0.05228    0.10990   -0.18794    0.02905    0.22008    0.17968    0.96784    0.26337    0.15893    0.67479    0.22803    0.14536    0.56620    0.22660    0.17453    0.40898    0.30764    0.14417    0.10352    0.33340    0.08337    0.05572    0.38110    0.11562    0.05758    0.10266    0.19750    0.02593    0.19965   -0.12692    0.00000    0.22480   12.19077  407.62885   -3.40710  -91.63432   -4.67572  -51.73720    0.13168    0.00000    0.22171  -15.75458  373.19937   -3.33823  -82.74056   -1.59809   49.14251
0.05951,    7   -0.01782    1.27442    0.39270   -0.00780    1.07576    0.39202   -0.01724    1.14060    0.13567   -0.00458    1.35031    0.20316   -0.00700    1.51370    0.20318   -0.01724    1.14060    0.13567   -0.00458    1.35031    0.20316   -0.00700    1.51370    0.20318   -0.14351    1.07588    0.18587    0.11259    1.07473    0.17838   -0.05671    1.09882    0.38381    0.04188    1.10180    0.37980   -0.19853    0.98835    0.26744   -0.18623    0.77333    0.24614   -0.15399    0.58288    0.23227   -0.15982    0.28339    0.30959   -0.13159    0.10241    0.33511   -0.06421    0.05684    0.38838   -0.11704    0.05229    0.10990   -0.18794    0.02905    0.22008    0.17969    0.96782    0.26342    0.15898    0.67480    0.22807    0.14533    0.56620    0.22666    0.17459    0.40899    0.30771    0.14418    0.10352    0.33339    0.08336    0.05571    0.38109    0.11563    0.05757    0.10268    0.19752    0.02593    0.19966   -0.12589    0.00000    0.22457   12.03038  406.40839   -3.56345  -91.26688   -4.94749  -51.16196    0.13413    0.00000    0.22109  -17.28057  376.82809   -2.22967  -83.31366    0.21199   50.54523
0.07049,    8   -0.01776    1.27440    0.39285   -0.00775    1.07572    0.39216   -0.01722    1.14062    0.13586   -0.00451    1.35025    0.20343   -0.00690    1.51362    0.20341   -0.01722    1.14062    0.13586   -0.00451    1.35025    0.20343   -0.00690    1.51362    0.20341   -0.14349    1.07591    0.18601    0.11262    1.07476    0.17852   -0.05665    1.09882    0.38397    0.04192    1.10177    0.37994   -0.19843    0.98832    0.26751   -0.18621    0.77334    0.24626   -0.15394    0.58290    0.23232   -0.15981    0.28340    0.30962   -0.13157    0.10241    0.33513   -0.06421    0.05683    0.38838   -0.11704    0.05230    0.10990   -0.18794    0.02907    0.22005    0.17970    0.96779    0.26345    0.15902    0.67480    0.22812    0.14540    0.56619    0.22671    0.17459    0.40896    0.30773    0.14419    0.10351    0.33340    0.08338    0.05573    0.38110    0.11564    0.05762    0.10265    0.19752    0.02593    0.19967   -0.12528    0.00000    0.22415   12.66035  404.88562   -3.09441  -90.75700   -5.00333  -50.72212    0.13153    0.00000    0.22108  -19.38341  372.43906   -2.22967  -82.33941   -2.21887   48.98853
0.07939,    9   -0.01769    1.27437    0.39301   -0.00768    1.07569    0.39231   -0.01719    1.14065    0.13602   -0.00445    1.35020    0.20369   -0.00683    1.51353    0.20360   -0.01719    1.14065    0.13602   -0.00445    1.35020    0.20369   -0.00683    1.51353    0.20360   -0.14347    1.07594    0.18620    0.11264    1.07476    0.17865   -0.05661    1.09877    0.38413    0.04199    1.10173    0.38008   -0.19837    0.98830    0.26764   -0.18620    0.77333    0.24635   -0.15391    0.58291    0.23240   -0.15979    0.28340    0.30965   -0.13157    0.10241    0.33512   -0.06420    0.05682    0.38838   -0.11703    0.05230    0.10991   -0.18793    0.02908    0.22007    0.17972    0.96777    0.26350    0.15903    0.67479    0.22815    0.14542    0.56620    0.22672    0.17469    0.40896    0.30771    0.14419    0.10350    0.33338    0.08338    0.05571    0.38110    0.11563    0.05757    0.10268    0.19753    0.02592    0.19967   -0.12562    0.00000    0.22315   11.40041  405.04080   -3.40710  -90.38412   -4.88102  -50.88112    0.13390    0.00000    0.21954  -15.35229  378.93784   -2.22967  -83.19229   -0.03465   50.74040
0.09052,   10   -0.01757    1.27435    0.39321   -0.00762    1.07566    0.39242   -0.01717    1.14069    0.13618   -0.00440    1.35014    0.20394   -0.00675    1.51347    0.20380   -0.01717    1.14069    0.13618   -0.00440    1.35014    0.20394   -0.00675    1.51347    0.20380   -0.14344    1.07597    0.18637    0.11267    1.07477    0.17878   -0.05655    1.09872    0.38426    0.04203    1.10172    0.38021   -0.19829    0.98831    0.26778   -0.18619    0.77337    0.24650   -0.15390    0.58294    0.23249   -0.15983    0.28341    0.30974   -0.13155    0.10241    0.33514   -0.06419    0.05681    0.38837   -0.11703    0.05231    0.10992   -0.18793    0.02909    0.22008    0.17976    0.96774    0.26361    0.15903    0.67479    0.22815    0.14545    0.56620    0.22670    0.17466    0.40892    0.30769    0.14421    0.10350    0.33338    0.08338    0.05571    0.38110    0.11563    0.05757    0.10269    0.19753    0.02592    0.19967   -0.12578    0.00000    0.22652   11.39848  404.13226   -3.87614  -91.54584   -5.07904  -50.83094    0.13416    0.00000    0.22058  -16.42282  379.09061   -1.91294  -83.62101   -0.40153   50.85960
