TimeStamp,FrameNumber,T10.PosX,T10.PosY,T10.PosZ,SACR.PosX,SACR.PosY,SACR.PosZ,NAVE.PosX,NAVE.PosY,NAVE.PosZ,XYPH.PosX,XYPH.PosY,XYPH.PosZ,STRN.PosX,STRN.PosY,STRN.PosZ,NAVE.PosX,NAVE.PosY,NAVE.PosZ,XYPH.PosX,XYPH.PosY,XYPH.PosZ,STRN.PosX,STRN.PosY,STRN.PosZ,LASIS.PosX,LASIS.PosY,LASIS.PosZ,RASIS.PosX,RASIS.PosY,RASIS.PosZ,LPSIS.PosX,LPSIS.PosY,LPSIS.PosZ,RPSIS.PosX,RPSIS.PosY,RPSIS.PosZ,LGTRO.PosX,LGTRO.PosY,LGTRO.PosZ,FLTHI.PosX,FLTHI.PosY,FLTHI.PosZ,LLEK.PosX,LLEK.PosY,LLEK.PosZ,LATI.PosX,LATI.PosY,LATI.PosZ,LLM.PosX,LLM.PosY,LLM.PosZ,LHEE.PosX,LHEE.PosY,LHEE.PosZ,LTOE.PosX,LTOE.PosY,LTOE.PosZ,LMT5.PosX,LMT5.PosY,LMT5.PosZ,RGTRO.PosX,RGTRO.PosY,RGTRO.PosZ,FRTHI.PosX,FRTHI.PosY,FRTHI.PosZ,RLEK.PosX,RLEK.PosY,RLEK.PosZ,RATI.PosX,RATI.PosY,RATI.PosZ,RLM.PosX,RLM.PosY,RLM.PosZ,RHEE.PosX,RHEE.PosY,RHEE.PosZ,RTOE.PosX,RTOE.PosY,RTOE.PosZ,RMT5.PosX,RMT5.PosY,RMT5.PosZ,FP1.CopX,FP1.CopY,FP1.CopZ,FP1.ForX,FP1.ForY,FP1.ForZ,FP1.MomX,FP1.MomY,FP1.MomZ,FP2.CopX,FP2.CopY,FP2.CopZ,FP2.ForX,FP2.ForY,FP2.ForZ,FP2.MomX,FP2.MomY,FP2.MomZ
0.00000,    1   -0.03325    1.27756    0.58882   -0.01796    1.06582    0.59367   -0.01961    1.14154    0.33563   -0.01703    1.33790    0.39108   -0.02749    1.49987    0.37725   -0.01961    1.14154    0.33563   -0.01703    1.33790    0.39108   -0.02749    1.49987    0.37725   -0.14851    1.07810    0.38618    0.10532    1.07464    0.38516   -0.06584    1.09095    0.58641    0.03176    1.09321    0.58409   -0.20688    0.98768    0.46553   -0.18427    0.77146    0.44253   -0.14731    0.58029    0.42659   -0.13910    0.28008    0.50593   -0.10726    0.10164    0.53888   -0.04085    0.05680    0.59469   -0.08137    0.05261    0.31501   -0.15717    0.02799    0.42129    0.16949    0.95812    0.45465    0.17057    0.69526    0.31611    0.16411    0.59363    0.28074    0.15956    0.47906    0.40313    0.11213    0.21604    0.54887    0.03780    0.19461    0.59118    0.14747    0.05235    0.38190    0.19124    0.07657    0.50077   -0.10695    0.00000    0.40453   41.70076  546.14923   -3.40710 -220.93651   -1.86248  -58.40778    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   -0.00000    0.00000    0.00000
0.00946,    2   -0.03387    1.27785    0.58984   -0.01791    1.06611    0.59502   -0.02096    1.14122    0.33695   -0.01731    1.33790    0.39211   -0.02745    1.49978    0.37780   -0.02096    1.14122    0.33695   -0.01731    1.33790    0.39211   -0.02745    1.49978    0.37780   -0.14954    1.07753    0.38824    0.10425    1.07518    0.38599   -0.06583    1.09123    0.58786    0.03171    1.09349    0.58530   -0.20713    0.98735    0.46844   -0.18457    0.77139    0.44894   -0.14785    0.57981    0.43703   -0.13894    0.28008    0.51807   -0.10693    0.10189    0.55183   -0.04101    0.05673    0.60769   -0.08124    0.05221    0.32818   -0.15721    0.02800    0.43461    0.16924    0.95910    0.45434    0.17021    0.69785    0.31256    0.16331    0.59620    0.27609    0.16067    0.47500    0.39440    0.11311    0.20411    0.52587    0.03907    0.17920    0.56733    0.14933    0.05178    0.34883    0.19349    0.06890    0.46875   -0.10292    0.00000    0.41841    3.84272  552.70904   -7.47210 -231.26187   -3.99433  -56.88654    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   -0.00000    0.00000    0.00000
0.01991,    3   -0.03437    1.27786    0.59093   -0.01773    1.06609    0.59637   -0.02232    1.14038    0.33828   -0.01752    1.33753    0.39307   -0.02735    1.49935    0.37839   -0.02232    1.14038    0.33828   -0.01752    1.33753    0.39307   -0.02735    1.49935    0.37839   -0.15063    1.07659    0.39019    0.10319    1.07531    0.38669   -0.06575    1.09118    0.58932    0.03174    1.09349    0.58645   -0.20755    0.98692    0.47127   -0.18483    0.77105    0.45497   -0.14819    0.57925    0.44709   -0.13888    0.28016    0.52985   -0.10663    0.10216    0.56481   -0.04096    0.05688    0.62100   -0.08113    0.05178    0.34130   -0.15703    0.02802    0.44796    0.16899    0.95973    0.45409    0.16961    0.69995    0.30949    0.16224    0.59817    0.27206    0.16157    0.47050    0.38606    0.11442    0.19207    0.50214    0.04072    0.16342    0.54245    0.15146    0.05190    0.31545    0.19588    0.06170    0.43605   -0.10819    0.00000    0.40968   15.06044  563.35803   15.51075 -230.79797   14.28443  -60.95040    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   -0.00000    0.00000    0.00000
0.02942,    4   -0.03477    1.27762    0.59188   -0.01751    1.06577    0.59765   -0.02356    1.13914    0.33951   -0.01770    1.33684    0.39400   -0.02719    1.49863    0.37885   -0.02356    1.13914    0.33951   -0.01770    1.33684    0.39400   -0.02719    1.49863    0.37885   -0.15169    1.07528    0.39202    0.10222    1.07500    0.38733   -0.06554    1.09088    0.59070    0.03185    1.09317    0.58757   -0.20775    0.98624    0.47381   -0.18503    0.77051    0.46082   -0.14841    0.57855    0.45695   -0.13884    0.28028    0.54160   -0.10628    0.10245    0.57779   -0.04094    0.05694    0.63438   -0.08102    0.05133    0.35458   -0.15700    0.02808    0.46133    0.16876    0.95995    0.45401    0.16873    0.70153    0.30685    0.16088    0.59962    0.26876    0.16208    0.46550    0.37797    0.11575    0.17980    0.47730    0.04236    0.14806    0.51587    0.15378    0.05274    0.28193    0.19830    0.05495    0.40278   -0.11211    0.00000    0.43682   59.91769  559.23694  -19.19804 -244.28325    6.39208  -62.69825    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   -0.00000    0.00000    0.00000
0.04000,    5   -0.03500    1.27714    0.59284   -0.01718    1.06517    0.59889   -0.02476    1.13754    0.34069   -0.01783    1.33581    0.39484   -0.02698    1.49762    0.37926   -0.02476    1.13754    0.34069   -0.01783    1.33581    0.39484   -0.02698    1.49762    0.37926   -0.15267    1.07377    0.39373    0.10133    1.07423    0.38801   -0.06528    1.09030    0.59199    0.03203    1.09259    0.58864   -0.20784    0.98534    0.47608   -0.18564    0.76965    0.46671   -0.14847    0.57787    0.46664   -0.13869    0.28036    0.55332   -0.10585    0.10271    0.59073   -0.04060    0.05708    0.64793   -0.08092    0.05087    0.36787   -0.15698    0.02818    0.47474    0.16863    0.95976    0.45402    0.16764    0.70263    0.30478    0.15932    0.60056    0.26635    0.16221    0.46009    0.36990    0.11726    0.16783    0.45175    0.04405    0.13298    0.48820    0.15629    0.05441    0.24839    0.20087    0.04900    0.36903   -0.10582    0.00000    0.42572   13.12220  581.56848   13.63460 -247.58649   -5.81206  -61.54071    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   -0.00000    0.00000    0.00000
0.04925,    6   -0.03500    1.27635    0.59369   -0.01682    1.06435    0.60006   -0.02581    1.13570    0.34177   -0.01787    1.33451    0.39565   -0.02669    1.49634    0.37963   -0.02581    1.13570    0.34177   -0.01787    1.33451    0.39565   -0.02669    1.49634    0.37963   -0.15346    1.07200    0.39532    0.10058    1.07305    0.38859   -0.06493    1.08944    0.59321    0.03233    1.09175    0.58965   -0.20811    0.98447    0.47844   -0.18560    0.76908    0.47217   -0.14846    0.57715    0.47626   -0.13859    0.28042    0.56503   -0.10544    0.10298    0.60370   -0.04027    0.05725    0.66148   -0.08084    0.05050    0.38116   -0.15682    0.02820    0.48821    0.16854    0.95906    0.45418    0.16635    0.70312    0.30313    0.15760    0.60077    0.26484    0.16192    0.45404    0.36201    0.11900    0.15621    0.42545    0.04570    0.11838    0.45920    0.15885    0.05697    0.21497    0.20349    0.04398    0.33492   -0.10617    0.00000    0.44900   14.41306  593.87744  -19.51073 -266.65292   -3.46239  -63.05347   -0.16177    0.00000   -0.27466  -24.87558   -8.11225   13.76530   -2.22815    9.62023    1.31230
0.06100,    7   -0.03490    1.27537    0.59447   -0.01644    1.06329    0.60110   -0.02669    1.13369    0.34276   -0.01785    1.33289    0.39635   -0.02628    1.49479    0.37993   -0.02669    1.13369    0.34276   -0.01785    1.33289    0.39635   -0.02628    1.49479    0.37993   -0.15405    1.07004    0.39681    0.10007    1.07155    0.38916   -0.06457    1.08846    0.59430    0.03261    1.09069    0.59052   -0.20902    0.98354    0.48109   -0.18568    0.76802    0.47755   -0.14820    0.57624    0.48603   -0.13852    0.28051    0.57666   -0.10502    0.10324    0.61679   -0.04008    0.05734    0.67489   -0.08075    0.05016    0.39444   -0.15666    0.02815    0.50175    0.16853    0.95791    0.45457    0.16484    0.70299    0.30210    0.15577    0.60022    0.26424    0.16164    0.44753    0.35427    0.12088    0.14516    0.39852    0.04771    0.10480    0.42957    0.16137    0.06065    0.18172    0.20608    0.04022    0.30052   -0.10413    0.00000    0.47357   25.97666  590.06500   -8.25382 -279.43533    2.12105  -61.44262    0.00485    0.00000   -0.46879   14.94344   -5.68318  -17.43280   -2.66420   10.67866   -0.02755
0.06948,    8   -0.03458    1.27405    0.59513   -0.01602    1.06209    0.60211   -0.02739    1.13156    0.34359   -0.01777    1.33104    0.39693   -0.02581    1.49300    0.38008   -0.02739    1.13156    0.34359   -0.01777    1.33104    0.39693   -0.02581    1.49300    0.38008   -0.15441    1.06795    0.39816    0.09978    1.06968    0.38962   -0.06419    1.08726    0.59535    0.03298    1.08938    0.59131   -0.20872    0.98215    0.48282   -0.18590    0.76681    0.48309   -0.14827    0.57535    0.49528   -0.13849    0.28058    0.58833   -0.10470    0.10350    0.62973   -0.04003    0.05743    0.68818   -0.08070    0.04981    0.40769   -0.15653    0.02815    0.51513    0.16857    0.95630    0.45523    0.16322    0.70212    0.30172    0.15373    0.59883    0.26467    0.16142    0.44048    0.34675    0.12299    0.13511    0.37090    0.04995    0.09240    0.39920    0.16359    0.06556    0.14873    0.20875    0.03792    0.26586   -0.10748    0.00000    0.47259   33.84354  614.67474  -17.47823 -290.48773    0.40639  -66.06795    0.59101    0.00000    0.46903   24.60294   -7.70324    8.06412    3.61306  -11.35675   -4.55270
0.07928,    9   -0.03414    1.27257    0.59568   -0.01561    1.06064    0.60295   -0.02781    1.12938    0.34431   -0.01761    1.32899    0.39737   -0.02523    1.49107    0.38020   -0.02781    1.12938    0.34431   -0.01761    1.32899    0.39737   -0.02523    1.49107    0.38020   -0.15454    1.06574    0.39940    0.09971    1.06753    0.39009   -0.06373    1.08590    0.59629    0.03341    1.08781    0.59196   -0.20876    0.98049    0.48463   -0.18629    0.76553    0.48854   -0.14846    0.57444    0.50415   -0.13847    0.28064    0.59995   -0.10437    0.10368    0.64273   -0.03988    0.05757    0.70144   -0.08067    0.04956    0.42086   -0.15628    0.02799    0.52860    0.16844    0.95420    0.45646    0.16140    0.70043    0.30216    0.15147    0.59653    0.26620    0.16159    0.43306    0.33946    0.12532    0.12640    0.34281    0.05248    0.08154    0.36839    0.16535    0.07183    0.11626    0.21116    0.03719    0.23121   -0.10663    0.00000    0.49061   23.90124  636.25085  -32.33109 -312.15240   -0.83656  -67.84058    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   -0.00000    0.00000    0.00000
0.09163,   10   -0.03352    1.27085    0.59605   -0.01515    1.05899    0.60369   -0.02804    1.12714    0.34496   -0.01735    1.32679    0.39773   -0.02458    1.48890    0.38019   -0.02804    1.12714    0.34496   -0.01735    1.32679    0.39773   -0.02458    1.48890    0.38019   -0.15444    1.06340    0.40055    0.09977    1.06516    0.39050   -0.06322    1.08431    0.59714    0.03391    1.08599    0.59252   -0.20872    0.97867    0.48633   -0.18674    0.76423    0.49393   -0.14871    0.57347    0.51264   -0.13847    0.28064    0.61138   -0.10409    0.10400    0.65560   -0.03978    0.05776    0.71463   -0.08070    0.04933    0.43402   -0.15620    0.02794    0.54188    0.16878    0.95195    0.45702    0.15954    0.69775    0.30361    0.14920    0.59343    0.26864    0.16203    0.42565    0.33240    0.12784    0.11916    0.31465    0.05510    0.07251    0.33767    0.16666    0.07975    0.08468    0.21321    0.03794    0.19687   -0.10375    0.00000    0.50260   16.56385  653.85602  -20.29246 -328.62860    6.48448  -67.83880    1.24597    0.00000   -1.93509    9.19193   -1.65961  -24.87600   -3.21150   21.23256   -2.06783
